location,ville,ville_w_regadm,final_lat,final_lon
"1 BOULEVARD SAMSON Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.5229192,-73.7826171
"1 BOUTHILLIER Rosemère, QC, Canada","Rosemère, QC, Canada","Rosemère,Laurentides, QC, Canada",45.6296467,-73.8258051
"1 CIPON MIKANA , QC, Canada",", QC, Canada",",Abitibi-Témiscamingue, QC, Canada",NA,NA
"1 CIRCUIT GILLES VILLENEUVE Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.503691,-73.52899839999999
"1 DES CHALUTIERS Gaspé, QC, Canada","Gaspé, QC, Canada","Gaspé,Gaspésie/-Îles-de-la-Madeleine, QC, Canada",48.99006730000001,-64.3760052
"1 DU VIEUX POSTE Sept-Îles, QC, Canada","Sept-Îles, QC, Canada","Sept-Îles,Côte-Nord, QC, Canada",50.2173744,-66.4046698
"1 GILLES VILLENEUVE CIRCUIT Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.503691,-73.52899839999999
"1 GILLES VILLENEUVE Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.503691,-73.52899839999999
"1 GRANDE ALLÉE Brossard, QC, Canada","Brossard, QC, Canada","Brossard,Montérégie, QC, Canada",45.4373126,-73.38684119999999
"1 GRANDE COTE Saint-Eustache, QC, Canada","Saint-Eustache, QC, Canada","Saint-Eustache,Laurentides, QC, Canada",45.560856,-73.88783
"1 GUY LAFLEUR Thurso, QC, Canada","Thurso, QC, Canada","Thurso,Outaouais, QC, Canada",45.6031176,-75.23649089999999
"1 LANGELIER Québec, QC, Canada","Québec, QC, Canada","Québec,Capitale-Nationale, QC, Canada",46.8110177,-71.230604
"1 MAILHOT  Princeville, QC, Canada","Princeville, QC, Canada","Princeville,Centre-du-Québec, QC, Canada",46.173438,-71.879043
"1 NOTRE-DAME EST Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.507119,-73.55639889999999
"1 PLACE ALBANY Chambly, QC, Canada","Chambly, QC, Canada","Chambly,Montérégie, QC, Canada",45.4445949,-73.2653378
"1 PLACE BELLERIVE Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.5370856,-73.72609530000001
"1 PLACE DE LA BELLE RIVE Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.5370856,-73.72609530000001
"1 PLACE DU SOUVENIR Laval, QC, Canada","Laval, QC, Canada","Laval,Laval, QC, Canada",45.55150769999999,-73.74466079999999
"1 PLACE VILLE MARIE Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5014343,-73.569146
"1 PONT SAINT FRANCOIS Sherbrooke, QC, Canada","Sherbrooke, QC, Canada","Sherbrooke,Estrie, QC, Canada",45.403456,-71.8863337
"1 QUINTAL Charlemagne, QC, Canada","Charlemagne, QC, Canada","Charlemagne,Lanaudière, QC, Canada",45.7189061,-73.4850086
"10 1RE RUE Chapais, QC, Canada","Chapais, QC, Canada","Chapais,Nord-du-Québec, QC, Canada",49.7858404,-74.8547985
